Server Version:69
TWS Time at connection:20131031 16:49:31 EST
1383252582104: Buy Book | Sell Book
1.35800 8251900 | 1.35810 2060000
1.35795 9000000 | 1.35815 8000000
1.35790 1500000 | 1.35820 5000000
1.35785 2000000 | 1.35825 1000000
1.35745 1000000 | 1.35830 1000000
1383252609417: Buy Book | Sell Book
1.35800 8251900 | 1.35810 2060000
1.35795 9000000 | 1.35815 8000000
1.35790 1500000 | 1.35820 5000000
1.35785 6500000 | 1.35825 1000000
1.35745 1000000 | 1.35830 1000000
1383252610645: Buy Book | Sell Book
1.35800 7891900 | 1.35810 2060000
1.35795 9000000 | 1.35815 8000000
1.35790 1500000 | 1.35820 5000000
1.35785 6500000 | 1.35825 1000000
1.35745 1000000 | 1.35830 1000000
1383252610650: Buy Book | Sell Book
1.35800 7891900 | 1.35810 2060000
1.35795 8000000 | 1.35815 8000000
1.35790 1500000 | 1.35820 5000000
1.35785 6500000 | 1.35825 1000000
1.35745 1000000 | 1.35830 1000000
1383252610652: Buy Book | Sell Book
1.35800 7891900 | 1.35810 2060000
1.35795 8000000 | 1.35815 8000000
1.35790 2500000 | 1.35820 5000000
1.35785 6500000 | 1.35825 1000000
1.35745 1000000 | 1.35830 1000000
1383252610848: Buy Book | Sell Book
1.35805 1000000 | 1.35810 2060000
1.35795 8000000 | 1.35815 8000000
1.35790 2500000 | 1.35820 5000000
1.35785 6500000 | 1.35825 1000000
1.35745 1000000 | 1.35830 1000000
1383252610855: Buy Book | Sell Book
1.35805 1000000 | 1.35810 2060000
1.35800 6891900 | 1.35815 8000000
1.35790 2500000 | 1.35820 5000000
1.35785 6500000 | 1.35825 1000000
1.35745 1000000 | 1.35830 1000000
1383252610856: Buy Book | Sell Book
1.35805 1000000 | 1.35810 2060000
1.35800 6891900 | 1.35815 8000000
1.35795 8000000 | 1.35820 5000000
1.35785 6500000 | 1.35825 1000000
1.35745 1000000 | 1.35830 1000000
1383252610858: Buy Book | Sell Book
1.35805 1000000 | 1.35810 2060000
1.35800 6891900 | 1.35815 8000000
1.35795 8000000 | 1.35820 5000000
1.35790 2500000 | 1.35825 1000000
1.35745 1000000 | 1.35830 1000000
1383252610859: Buy Book | Sell Book
1.35805 1000000 | 1.35810 2060000
1.35800 6891900 | 1.35815 8000000
1.35795 8000000 | 1.35820 5000000
1.35790 2500000 | 1.35825 1000000
1.35785 6500000 | 1.35830 1000000
1383252610862: Buy Book | Sell Book
1.35805 1000000 | 1.35810 1845000
1.35800 6891900 | 1.35815 8000000
1.35795 8000000 | 1.35820 5000000
1.35790 2500000 | 1.35825 1000000
1.35785 6500000 | 1.35830 1000000
1383252610863: Buy Book | Sell Book
1.35800 7891900 | 1.35810 1845000
1.35800 6891900 | 1.35815 8000000
1.35795 8000000 | 1.35820 5000000
1.35790 2500000 | 1.35825 1000000
1.35785 6500000 | 1.35830 1000000
1383252610865: Buy Book | Sell Book
1.35800 7891900 | 1.35810 1845000
1.35795 8000000 | 1.35815 8000000
1.35795 8000000 | 1.35820 5000000
1.35790 2500000 | 1.35825 1000000
1.35785 6500000 | 1.35830 1000000
1383252610865: Buy Book | Sell Book
1.35800 7891900 | 1.35810 1845000
1.35795 8000000 | 1.35815 8000000
1.35790 2000000 | 1.35820 5000000
1.35790 2500000 | 1.35825 1000000
1.35785 6500000 | 1.35830 1000000
1383252610866: Buy Book | Sell Book
1.35800 7891900 | 1.35810 1845000
1.35795 8000000 | 1.35815 8000000
1.35790 2000000 | 1.35820 5000000
1.35785 7000000 | 1.35825 1000000
1.35785 6500000 | 1.35830 1000000
1383252610867: Buy Book | Sell Book
1.35800 7891900 | 1.35810 1845000
1.35795 8000000 | 1.35815 8000000
1.35790 2000000 | 1.35820 5000000
1.35785 7000000 | 1.35825 1000000
1.35745 1000000 | 1.35830 1000000
1383252610868: Buy Book | Sell Book
1.35800 7891900 | 1.35805 500000
1.35795 8000000 | 1.35815 8000000
1.35790 2000000 | 1.35820 5000000
1.35785 7000000 | 1.35825 1000000
1.35745 1000000 | 1.35830 1000000
1383252610869: Buy Book | Sell Book
1.35800 7891900 | 1.35805 500000
1.35795 8000000 | 1.35810 1345000
1.35790 2000000 | 1.35820 5000000
1.35785 7000000 | 1.35825 1000000
1.35745 1000000 | 1.35830 1000000
1383252610871: Buy Book | Sell Book
1.35800 7891900 | 1.35805 500000
1.35795 8000000 | 1.35810 1345000
1.35790 2000000 | 1.35815 8000000
1.35785 7000000 | 1.35825 1000000
1.35745 1000000 | 1.35830 1000000
1383252610872: Buy Book | Sell Book
1.35800 7891900 | 1.35805 500000
1.35795 8000000 | 1.35810 1345000
1.35790 2000000 | 1.35815 8000000
1.35785 7000000 | 1.35820 5000000
1.35745 1000000 | 1.35830 1000000
1383252610873: Buy Book | Sell Book
1.35800 7891900 | 1.35805 500000
1.35795 8000000 | 1.35810 1345000
1.35790 2000000 | 1.35815 8000000
1.35785 7000000 | 1.35820 5000000
1.35745 1000000 | 1.35825 1000000
1383252610874: Buy Book | Sell Book
1.35800 7891900 | 1.35805 500000
1.35795 8000000 | 1.35810 1200000
1.35790 2000000 | 1.35815 8000000
1.35785 7000000 | 1.35820 5000000
1.35745 1000000 | 1.35825 1000000
1383252610951: Buy Book | Sell Book
1.35800 7891900 | 1.35805 500000
1.35795 6000000 | 1.35810 1200000
1.35790 2000000 | 1.35815 8000000
1.35785 7000000 | 1.35820 5000000
1.35745 1000000 | 1.35825 1000000
1383252610960: Buy Book | Sell Book
1.35800 7891900 | 1.35805 500000
1.35795 6000000 | 1.35810 1200000
1.35790 4000000 | 1.35815 8000000
1.35785 7000000 | 1.35820 5000000
1.35745 1000000 | 1.35825 1000000
1383252611054: Buy Book | Sell Book
1.35805 2000000 | 1.35805 500000
1.35795 6000000 | 1.35810 1200000
1.35790 4000000 | 1.35815 8000000
1.35785 7000000 | 1.35820 5000000
1.35745 1000000 | 1.35825 1000000
1383252611058: Buy Book | Sell Book
1.35805 2000000 | 1.35805 500000
1.35800 8891900 | 1.35810 1200000
1.35790 4000000 | 1.35815 8000000
1.35785 7000000 | 1.35820 5000000
